groupId,status,createdAt,name,privacy,coverUrl,updatedAt,description,ownerId
G021,active,2025-12-29T16:52:25,Growth Experiment #25,public,https://example.com/group/g021.jpg,2026-01-03T03:51:15,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0107
G022,active,2025-05-28T03:21:47,Social Media Growth #25,public,https://example.com/group/g022.jpg,2026-02-18T19:11:05,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0831
G023,active,2026-03-16T23:56:52,TOEIC 800+ #11,private,https://example.com/group/g023.jpg,2026-03-30T16:05:17,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0503
G024,active,2026-01-20T13:52:26,Motion Basic #21,private,https://example.com/group/g024.jpg,2026-01-27T00:47:46,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0819
G025,active,2026-01-30T08:02:04,Branding & Insight #11,public,https://example.com/group/g025.jpg,2026-02-15T15:29:16,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0071
G026,active,2026-03-14T06:20:12,E-commerce Builder #7,private,https://example.com/group/g026.jpg,2026-04-01T04:44:35,Nhóm dành cho cộng đồng ecommerce trao đổi kiến thức và kết nối.,U0873
G027,active,2025-09-02T17:51:28,Figma Practice #13,public,https://example.com/group/g027.jpg,2025-12-30T03:02:15,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0265
G028,active,2025-10-22T13:52:54,System Design Căn bản #28,public,https://example.com/group/g028.jpg,2026-02-14T10:14:47,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0570
G029,active,2026-03-10T14:34:47,Motion Basic #4,private,https://example.com/group/g029.jpg,2026-03-22T12:23:58,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0325
G030,active,2025-10-05T22:20:18,Motion Basic #27,public,https://example.com/group/g030.jpg,2025-10-20T13:36:02,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0475
G031,active,2025-11-13T05:11:03,Neo4j Study Hub #8,private,https://example.com/group/g031.jpg,2026-02-14T11:55:40,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0351
G032,active,2025-12-31T12:50:15,Sales & Ops Club #1,public,https://example.com/group/g032.jpg,2026-02-09T19:02:59,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0563
G033,active,2026-03-22T17:44:10,Motion Basic #14,public,https://example.com/group/g033.jpg,2026-03-31T12:03:27,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0380
G034,active,2024-07-16T11:05:25,Case Study Biz #24,private,https://example.com/group/g034.jpg,2025-06-05T07:23:29,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0559
G035,active,2025-12-25T22:23:29,Motion Basic #12,public,https://example.com/group/g035.jpg,2026-01-30T05:55:57,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0457
G036,active,2026-02-22T03:36:07,TOEIC 800+ #11,public,https://example.com/group/g036.jpg,2026-03-08T00:10:48,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0213
G037,active,2025-04-27T16:08:36,Case Study Biz #18,public,https://example.com/group/g037.jpg,2025-05-30T10:55:03,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0201
G038,active,2026-03-18T07:32:09,TOEIC 800+ #15,public,https://example.com/group/g038.jpg,2026-03-27T03:51:08,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0276
G039,active,2026-01-17T04:23:14,Motion Basic #3,private,https://example.com/group/g039.jpg,2026-02-20T14:20:16,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0006
G040,active,2025-04-10T16:27:10,Branding & Insight #16,private,https://example.com/group/g040.jpg,2025-10-26T20:10:29,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0779
G041,active,2025-10-31T21:22:59,Branding & Insight #29,public,https://example.com/group/g041.jpg,2025-11-10T20:06:52,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0192
G042,active,2025-06-17T03:19:48,Data Analyst Việt #13,public,https://example.com/group/g042.jpg,2025-10-19T13:42:05,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0068
G043,active,2025-01-18T04:00:48,Growth Experiment #8,public,https://example.com/group/g043.jpg,2025-09-11T09:51:04,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0792
G044,active,2026-01-15T05:31:21,Tài chính cá nhân #20,public,https://example.com/group/g044.jpg,2026-03-31T10:29:57,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0897
G045,active,2025-10-20T04:50:06,Học SQL cùng nhau #20,public,https://example.com/group/g045.jpg,2026-01-24T09:36:04,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0528
G046,active,2025-01-17T22:27:36,Frontend UI Club #27,private,https://example.com/group/g046.jpg,2025-03-29T17:01:35,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0845
G047,active,2026-01-22T12:02:28,Content Lab #4,private,https://example.com/group/g047.jpg,2026-02-25T21:08:39,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0416
G048,active,2025-08-02T18:59:31,FP&A Study #23,public,https://example.com/group/g048.jpg,2026-01-15T18:16:10,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0566
G049,active,2026-01-24T01:28:18,Seller Ops Vietnam #23,private,https://example.com/group/g049.jpg,2026-02-05T11:39:30,Nhóm dành cho cộng đồng ecommerce trao đổi kiến thức và kết nối.,U0780
G050,active,2025-09-02T09:05:55,Chứng khoán nhập môn #12,private,https://example.com/group/g050.jpg,2025-10-11T10:18:30,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0056
G051,active,2026-03-14T15:32:35,Backend Practice #18,private,https://example.com/group/g051.jpg,2026-03-16T08:51:52,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0843
G052,active,2024-11-19T16:14:24,Học SQL cùng nhau #1,public,https://example.com/group/g052.jpg,2025-02-11T15:26:52,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0084
G053,active,2026-03-16T07:38:51,Writing Workshop #28,public,https://example.com/group/g053.jpg,2026-03-29T15:08:41,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0097
G054,active,2025-04-30T09:08:06,Frontend UI Club #12,private,https://example.com/group/g054.jpg,2025-11-25T08:27:30,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0170
G055,active,2026-03-23T08:24:00,System Design Căn bản #23,public,https://example.com/group/g055.jpg,2026-03-29T02:41:42,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0843
G056,active,2026-01-26T13:31:53,Content Lab #30,private,https://example.com/group/g056.jpg,2026-03-21T02:55:08,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0598
G057,active,2026-02-20T09:30:07,Frontend UI Club #29,public,https://example.com/group/g057.jpg,2026-02-24T18:25:15,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0701
G058,active,2026-03-05T06:00:05,Mobile Dev VN #15,public,https://example.com/group/g058.jpg,2026-03-09T13:14:39,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0079
G059,active,2026-03-29T10:42:20,Chứng khoán nhập môn #12,private,https://example.com/group/g059.jpg,2026-03-31T19:04:25,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0239
G060,active,2026-03-14T12:59:36,Content Lab #12,public,https://example.com/group/g060.jpg,2026-03-23T13:54:58,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0124
G061,active,2026-03-13T19:02:05,Học SQL cùng nhau #28,public,https://example.com/group/g061.jpg,2026-03-31T05:27:01,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0387
G062,active,2025-07-07T01:01:11,System Design Căn bản #25,public,https://example.com/group/g062.jpg,2026-03-09T06:11:29,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0553
G063,active,2025-07-10T09:55:56,Case Study Biz #13,private,https://example.com/group/g063.jpg,2025-11-06T08:27:30,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0522
G064,active,2024-10-09T00:52:30,FP&A Study #20,private,https://example.com/group/g064.jpg,2024-10-21T21:43:15,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0775
G065,active,2025-07-07T14:53:08,Tài chính cá nhân #17,private,https://example.com/group/g065.jpg,2026-02-03T15:08:01,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0323
G066,active,2026-02-11T08:54:40,Data Analyst Việt #21,public,https://example.com/group/g066.jpg,2026-02-26T14:24:39,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0084
G067,active,2024-02-22T22:35:13,English Daily Talk #7,public,https://example.com/group/g067.jpg,2024-03-15T10:41:07,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0574
G068,active,2024-10-26T18:22:20,TOEIC 800+ #17,public,https://example.com/group/g068.jpg,2025-12-31T18:43:52,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0688
G069,active,2025-08-30T04:23:22,TOEIC 800+ #29,private,https://example.com/group/g069.jpg,2026-03-13T18:29:52,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0281
G070,active,2025-11-20T10:24:59,Khởi nghiệp sinh viên #2,public,https://example.com/group/g070.jpg,2026-02-23T01:27:47,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0789
G071,active,2026-01-10T07:20:17,Chứng khoán nhập môn #22,private,https://example.com/group/g071.jpg,2026-01-19T19:18:27,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0243
G072,active,2026-03-20T11:52:44,English Daily Talk #2,private,https://example.com/group/g072.jpg,2026-03-30T19:07:26,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0021
G073,active,2025-07-24T00:40:18,Social Media Growth #22,private,https://example.com/group/g073.jpg,2025-12-27T16:03:34,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0585
G074,active,2026-03-08T14:25:34,Motion Basic #23,public,https://example.com/group/g074.jpg,2026-03-24T12:20:58,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0564
G075,active,2025-12-08T18:03:18,Data Analyst Việt #27,public,https://example.com/group/g075.jpg,2026-01-20T19:45:09,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0098
G076,active,2025-09-26T03:25:17,Olist Study Group #5,private,https://example.com/group/g076.jpg,2026-01-21T19:35:11,Nhóm dành cho cộng đồng ecommerce trao đổi kiến thức và kết nối.,U0556
G077,active,2026-02-18T03:32:53,Case Study Biz #3,public,https://example.com/group/g077.jpg,2026-02-23T01:59:28,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0027
G078,active,2025-01-05T04:07:00,Social Media Growth #10,private,https://example.com/group/g078.jpg,2026-03-07T10:24:39,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0355
G079,active,2025-12-25T17:03:42,Motion Basic #27,public,https://example.com/group/g079.jpg,2026-01-20T03:23:04,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0132
G080,active,2025-04-15T10:51:19,Khởi nghiệp sinh viên #16,private,https://example.com/group/g080.jpg,2025-10-07T11:46:43,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0632
G081,active,2024-11-30T08:26:21,E-commerce Builder #25,private,https://example.com/group/g081.jpg,2024-12-18T21:30:08,Nhóm dành cho cộng đồng ecommerce trao đổi kiến thức và kết nối.,U0420
G082,active,2025-08-08T14:10:39,System Design Căn bản #20,public,https://example.com/group/g082.jpg,2025-11-04T06:14:17,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0170
G083,active,2026-03-14T14:38:40,Data Analyst Việt #24,private,https://example.com/group/g083.jpg,2026-03-28T16:18:17,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0256
G084,active,2025-05-26T11:09:44,Writing Workshop #30,private,https://example.com/group/g084.jpg,2026-03-16T23:53:48,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0696
G085,active,2026-03-13T04:10:07,Social Media Growth #5,private,https://example.com/group/g085.jpg,2026-03-31T00:15:32,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0072
G086,active,2025-03-19T13:43:51,Motion Basic #1,private,https://example.com/group/g086.jpg,2025-05-28T04:20:59,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0475
G087,active,2026-03-18T17:04:57,Seller Ops Vietnam #5,private,https://example.com/group/g087.jpg,2026-03-27T06:48:02,Nhóm dành cho cộng đồng ecommerce trao đổi kiến thức và kết nối.,U0167
G088,active,2024-12-13T14:10:41,IELTS Speaking Zone #20,public,https://example.com/group/g088.jpg,2025-01-13T11:41:13,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0253
G089,active,2026-02-14T15:37:04,Content Lab #22,private,https://example.com/group/g089.jpg,2026-03-03T19:14:34,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0199
G090,active,2026-01-23T15:43:35,Khởi nghiệp sinh viên #28,public,https://example.com/group/g090.jpg,2026-03-03T02:09:53,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0829
