postId,createdAt,visibility,updatedAt,content,mediaUrls,groupId,sharedFromPostId
P00145,2026-03-22T06:55:18,public,2026-03-25T12:55:25,Mọi người góp ý giúp mình layout này với.,,,
P00146,2026-03-31T13:06:47,public,2026-04-01T01:42:23,Có ai học dataset Olist không?,,G009,
P00147,2026-01-06T20:20:30,friends,2026-01-12T13:37:49,Mọi người recommend tài liệu Spring Boot nhé.,,G013,
P00148,2025-01-31T09:47:36,public,2025-12-19T10:06:35,Mọi người recommend tài liệu Spring Boot nhé.,,G002,
P00149,2024-05-30T22:45:25,public,2025-08-13T05:09:06,Có ai muốn lập nhóm học FP&A không?,,,
P00150,2025-07-03T11:10:52,group,2026-02-11T06:13:37,Mình cần template content plan cho fanpage.,,,
P00151,2026-03-19T14:13:16,public,2026-03-25T09:09:55,Có tài liệu nào học Figma từ cơ bản tới nâng cao không?,,G033,
P00152,2025-09-24T05:14:20,public,2025-12-23T03:29:15,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,G045,
P00153,2024-09-28T20:43:11,public,2024-11-16T00:25:21,Mọi người recommend tài liệu Spring Boot nhé.,,,
P00154,2026-02-20T23:31:09,group,2026-03-04T15:03:35,Mình vừa hoàn thành dashboard đầu tiên bằng Power BI.,https://example.com/media/post_00154.jpg,,
P00155,2025-07-08T09:57:18,public,2026-02-14T14:10:26,Bài này giải thích khá dễ về budgeting.,https://example.com/media/post_00155.jpg,G017,
P00156,2025-06-08T02:25:47,public,2026-02-14T15:14:00,Mọi người học IELTS listening bằng nguồn nào?,,,
P00157,2026-03-31T03:06:04,public,2026-03-31T16:53:55,Chia sẻ vài chỉ số cần theo dõi trong e-commerce.,https://example.com/media/post_00157.jpg,,
P00158,2025-01-20T22:22:08,friends,2026-01-31T12:12:06,Có ai đang học system design không?,,G051,
P00159,2025-11-23T17:48:40,friends,2026-02-17T17:22:36,Chia sẻ bộ từ vựng chủ đề education.,https://example.com/media/post_00159.jpg,G084,
P00160,2025-09-13T00:43:58,friends,2025-09-23T01:48:42,Mình đang học quản trị dòng tiền.,,,
P00161,2024-10-14T14:32:58,friends,2025-07-15T03:09:37,Mọi người có kinh nghiệm tối ưu đơn hàng hoàn không?,,G009,
P00162,2026-02-24T16:01:34,public,2026-03-14T16:23:53,Chia sẻ vài chỉ số cần theo dõi trong e-commerce.,,,
P00163,2025-08-21T00:55:43,public,2025-09-16T11:09:59,Có ai đang học system design không?,,,
P00164,2025-04-25T12:15:21,public,2025-10-07T10:35:09,Ai muốn luyện speaking buổi tối không?,,,
P00165,2025-03-12T07:08:42,group,2025-10-21T13:03:08,Mọi người theo dõi chỉ số nào khi phân tích cổ phiếu?,,G044,
P00166,2025-04-27T22:44:13,public,2025-12-06T12:43:00,"Mình đang build app nhỏ bằng React, cần góp ý UI.",,G051,
P00167,2025-04-27T04:22:20,group,2025-10-30T10:21:25,Case study này khá hay cho team kinh doanh.,https://example.com/media/post_00167.jpg,,
P00168,2025-09-27T16:42:51,public,2025-11-20T03:07:30,Bài này giải thích khá dễ về budgeting.,,G065,
P00169,2025-10-18T11:34:55,public,2026-03-31T03:00:12,Có ai muốn lập nhóm học FP&A không?,,,
P00170,2025-09-03T08:28:38,group,2025-11-29T20:47:00,Mọi người học IELTS listening bằng nguồn nào?,,,
P00171,2025-11-02T17:33:12,group,2025-11-28T13:30:46,Mọi người theo dõi chỉ số nào khi phân tích cổ phiếu?,https://example.com/media/post_00171.jpg,,
P00172,2026-01-30T01:22:01,friends,2026-02-04T13:01:36,Có ai từng làm growth experiment cho startup chưa?,,G063,
P00173,2026-01-28T07:17:57,group,2026-02-22T04:25:16,Mọi người học IELTS listening bằng nguồn nào?,,G084,
P00174,2024-09-28T04:51:02,friends,2025-03-06T08:01:37,Mình vừa hoàn thành dashboard đầu tiên bằng Power BI.,https://example.com/media/post_00174.jpg,,
P00175,2024-06-19T01:07:29,public,2026-02-06T21:30:07,Chia sẻ case branding mình thấy khá hay.,,G040,
P00176,2025-06-15T09:31:14,public,2025-11-13T11:14:58,Chia sẻ case branding mình thấy khá hay.,,G021,
P00177,2025-02-21T07:06:37,public,2025-09-01T22:56:23,Chia sẻ bộ từ vựng chủ đề education.,https://example.com/media/post_00177.jpg,,
P00178,2025-05-16T21:44:06,group,2025-07-14T18:15:24,Có ai đã chạy A/B test cho landing page chưa?,,G041,
P00179,2025-09-14T20:23:01,friends,2025-11-05T08:33:06,Có ai học dataset Olist không?,https://example.com/media/post_00179.jpg,G026,
P00180,2025-11-15T23:46:20,friends,2026-01-06T10:05:47,Neo4j dùng cho friend suggestion khá hợp.,,G058,
P00181,2025-01-12T21:58:45,public,2025-01-27T14:31:33,Mọi người recommend tài liệu Spring Boot nhé.,,G051,
P00182,2026-03-01T05:23:02,public,2026-03-22T09:56:03,Chia sẻ tài liệu SQL cơ bản cho người mới.,https://example.com/media/post_00182.jpg,G083,
P00183,2025-07-16T04:37:34,friends,2025-10-17T08:59:06,Chia sẻ case branding mình thấy khá hay.,,G078,
P00184,2024-10-18T01:10:08,friends,2025-10-06T15:23:02,Có ai đã chạy A/B test cho landing page chưa?,,G089,
P00185,2025-05-14T22:54:18,public,2026-03-23T04:08:31,Ai có bài tập Neo4j hay cho mình xin với.,,G020,
P00186,2026-02-05T11:37:22,friends,2026-03-01T06:04:34,Case study này khá hay cho team kinh doanh.,,,
P00187,2025-12-28T10:16:38,public,2025-12-29T01:37:49,Mình đang phân tích hành vi khách hàng cho shop.,,,
P00188,2026-01-18T13:03:50,public,2026-03-29T01:49:36,Chia sẻ bộ từ vựng chủ đề education.,https://example.com/media/post_00188.jpg,,
P00189,2026-01-27T16:48:56,friends,2026-03-28T04:12:50,Mình đang phân tích hành vi khách hàng cho shop.,https://example.com/media/post_00189.jpg,G049,
P00190,2026-01-06T13:33:15,friends,2026-03-15T09:34:03,Mọi người học IELTS listening bằng nguồn nào?,,G069,
P00191,2026-03-03T00:43:50,group,2026-03-07T15:25:35,Typography nào dễ dùng cho mobile app?,https://example.com/media/post_00191.jpg,G027,
P00192,2025-02-04T09:03:12,group,2026-03-29T04:00:40,Mình cần bạn học writing task 2.,https://example.com/media/post_00192.jpg,,
P00193,2025-07-11T03:49:20,public,2025-12-17T10:34:28,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,G020,
P00194,2025-06-23T23:35:39,group,2026-01-20T20:13:07,Chia sẻ bộ từ vựng chủ đề education.,,G038,
P00195,2025-10-31T22:00:59,group,2026-02-14T05:35:34,Có ai đã chạy A/B test cho landing page chưa?,,,
P00196,2025-11-01T21:32:49,friends,2026-03-07T12:55:56,Có ai học dataset Olist không?,https://example.com/media/post_00196.jpg,,
P00197,2025-06-05T22:25:55,public,2026-01-11T12:36:14,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,https://example.com/media/post_00197.jpg,,
P00198,2026-03-19T12:34:31,friends,2026-03-23T16:54:09,Chia sẻ bộ từ vựng chủ đề education.,https://example.com/media/post_00198.jpg,G067,
P00199,2025-12-22T17:04:02,group,2026-02-17T18:49:08,Mọi người nghĩ sao về product-market fit?,https://example.com/media/post_00199.jpg,G070,
P00200,2025-03-24T03:58:07,group,2025-09-14T19:03:54,Mọi người góp ý giúp mình layout này với.,,,
P00201,2026-03-08T19:46:50,public,2026-03-20T02:32:58,Mình đang học quản trị dòng tiền.,,,
P00202,2025-10-07T11:56:17,group,2026-02-26T18:53:44,"Mình đang build app nhỏ bằng React, cần góp ý UI.",https://example.com/media/post_00202.jpg,,
P00203,2026-02-28T08:16:15,friends,2026-03-30T17:28:48,Chia sẻ bộ từ vựng chủ đề education.,https://example.com/media/post_00203.jpg,G072,
P00204,2024-04-25T03:39:05,group,2024-12-01T17:02:41,Ai muốn luyện speaking buổi tối không?,,G008,
P00205,2024-10-31T22:20:14,public,2026-03-14T10:59:24,Mọi người góp ý giúp mình layout này với.,,G035,
P00206,2025-09-10T20:41:29,public,2026-01-22T08:35:06,Mọi người theo dõi chỉ số nào khi phân tích cổ phiếu?,,,
P00207,2025-11-08T23:07:54,public,2025-11-11T04:18:32,Case study này khá hay cho team kinh doanh.,https://example.com/media/post_00207.jpg,G077,
P00208,2026-02-24T02:39:56,public,2026-03-12T05:10:06,Có ai học dataset Olist không?,https://example.com/media/post_00208.jpg,G009,
P00209,2026-03-11T03:06:32,public,2026-03-28T11:16:29,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,,
P00210,2025-05-07T18:59:07,public,2025-08-20T20:35:41,Ai muốn luyện speaking buổi tối không?,https://example.com/media/post_00210.jpg,G088,
P00211,2025-08-16T08:10:25,group,2025-11-20T19:12:25,Có ai đã chạy A/B test cho landing page chưa?,,G022,
P00212,2025-12-20T14:20:30,group,2026-03-21T14:34:49,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,G075,
P00213,2026-02-12T07:26:36,group,2026-02-22T19:47:03,Có ai từng làm growth experiment cho startup chưa?,,G063,
P00214,2024-08-26T23:53:42,public,2025-12-18T21:19:53,Có ai đã chạy A/B test cho landing page chưa?,,G060,
P00215,2026-02-26T05:33:13,public,2026-03-26T08:13:26,Có ai muốn lập nhóm học FP&A không?,,G071,
P00216,2026-02-27T10:09:51,friends,2026-03-02T21:38:21,Mọi người dùng KPI nào để đo hiệu quả content?,,,
P00217,2025-06-04T06:25:30,public,2025-09-30T08:07:44,Chia sẻ tài liệu SQL cơ bản cho người mới.,,,
P00218,2024-09-24T20:02:05,public,2024-11-21T12:14:30,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,G033,
P00219,2025-09-08T13:46:26,public,2025-12-24T00:30:21,Mọi người recommend tài liệu Spring Boot nhé.,,,
P00220,2025-06-18T21:29:58,friends,2026-02-19T12:34:28,Mọi người góp ý giúp mình layout này với.,,,
P00221,2025-05-04T08:13:25,friends,2025-06-30T12:38:34,Có ai đã chạy A/B test cho landing page chưa?,,,
